Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
18933.175,0.75785,30 December 2010 05:15:33.175,734502.2191,0.75266,MCWV,US,25_Nov,S,0.083629,9.0621
19508.5,0.76521,02 January 2011 05:25:08.500,734505.2258,0.70763,MCWV,US,25_Nov,S,0.078626,9.7324
10863.475,0.72395,02 January 2011 03:01:03.475,734505.1257,0.70763,MCWV,US,25_Nov,S,0.078626,9.2076
19543.025,0.79411,11 January 2011 05:25:43.025,734514.2262,0.77698,MCWV,US,25_Nov,S,0.086331,9.1985
61388.975,0.76532,19 January 2011 17:03:08.975,734522.7105,0.76027,MCWV,US,25_Nov,S,0.084474,9.0598
35713.5,0.78245,23 January 2011 09:55:13.500,734526.4134,0.74796,MCWV,US,25_Nov,S,0.083106,9.4151
27100.8,0.89585,29 January 2011 07:31:40.800,734532.3137,0.76321,MCWV,US,25_Nov,S,0.084801,10.5642
30956.525,0.77193,30 January 2011 08:35:56.525,734533.3583,0.74928,MCWV,US,25_Nov,S,0.083253,9.2721
65376.025,0.77934,31 January 2011 18:09:36.025,734534.7567,0.76569,MCWV,US,25_Nov,S,0.085076,9.1605
17698.3,0.74868,02 February 2011 04:54:58.300,734536.2048,0.74591,MCWV,US,25_Nov,S,0.082878,9.0335
40559.8,0.82032,05 February 2011 11:15:59.800,734539.4694,0.75666,MCWV,US,25_Nov,S,0.084073,9.7573
39739,0.79368,05 February 2011 11:02:19.000,734539.4599,0.75666,MCWV,US,25_Nov,S,0.084073,9.4403
8914.6,0.77669,06 February 2011 02:28:34.600,734540.1032,0.73437,MCWV,US,25_Nov,S,0.081597,9.5187
37848.625,0.80855,10 February 2011 10:30:48.625,734544.4381,0.7642,MCWV,US,25_Nov,S,0.084911,9.5223
75456.7,0.75366,21 February 2011 20:57:36.700,734555.8733,0.75209,MCWV,US,25_Nov,S,0.083566,9.0188
37515.875,0.73625,26 February 2011 10:25:15.875,734560.4342,0.73502,MCWV,US,25_Nov,S,0.081669,9.015
64070.125,0.74641,10 March 2011 17:47:50.125,734572.7416,0.73672,MCWV,US,25_Nov,S,0.081858,9.1184
63623.85,0.8346,11 March 2011 17:40:23.850,734573.7364,0.73369,MCWV,US,25_Nov,S,0.081521,10.2378
2728.475,0.78518,13 March 2011 00:45:28.475,734575.0316,0.72379,MCWV,US,25_Nov,S,0.080422,9.7633
21215.5,0.79162,19 March 2011 05:53:35.500,734581.2455,0.75819,MCWV,US,25_Nov,S,0.084243,9.3969
59426.275,0.81627,25 March 2011 16:30:26.275,734587.6878,0.76172,MCWV,US,25_Nov,S,0.084635,9.6446
32326.4,0.7801,29 March 2011 08:58:46.400,734591.3741,0.75804,MCWV,US,25_Nov,S,0.084227,9.2619
39309.775,0.78941,02 April 2011 10:55:09.775,734595.455,0.75165,MCWV,US,25_Nov,S,0.083517,9.4521
68433.425,0.77303,04 April 2011 19:00:33.425,734597.7921,0.75537,MCWV,US,25_Nov,S,0.08393,9.2104
24468.2,0.78981,09 April 2011 06:47:48.200,734602.2832,0.75774,MCWV,US,25_Nov,S,0.084194,9.3809
24978.8,0.80762,12 April 2011 06:56:18.800,734605.2891,0.75368,MCWV,US,25_Nov,S,0.083742,9.6442
78864.8,0.78343,20 April 2011 21:54:24.800,734613.9128,0.75774,MCWV,US,25_Nov,S,0.084194,9.305
55675.775,0.77972,03 May 2011 15:27:55.775,734626.6444,0.76076,MCWV,US,25_Nov,S,0.084529,9.2242
32319.575,0.75977,04 May 2011 08:58:39.575,734627.3741,0.7574,MCWV,US,25_Nov,S,0.084156,9.0281
62480.025,0.75394,22 May 2011 17:21:20.025,734645.7231,0.74969,MCWV,US,25_Nov,S,0.083299,9.0509
