Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
16595.525,0.63796,01 March 2010 04:36:35.525,734198.1921,0.52076,ACSO,US,25_Nov,S,0.057862,11.0256
5780.925,0.55529,01 March 2010 01:36:20.925,734198.0669,0.52076,ACSO,US,25_Nov,S,0.057862,9.5968
21823.075,0.53647,01 March 2010 06:03:43.075,734198.2526,0.52076,ACSO,US,25_Nov,S,0.057862,9.2716
5780.075,0.5295,01 March 2010 01:36:20.075,734198.0669,0.52076,ACSO,US,25_Nov,S,0.057862,9.1511
16695.625,0.52463,01 March 2010 04:38:15.625,734198.1932,0.52076,ACSO,US,25_Nov,S,0.057862,9.0669
36687.55,0.62514,03 March 2010 10:11:27.550,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,11.0534
36688.225,0.59464,03 March 2010 10:11:28.225,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,10.5141
36688.9,0.58571,03 March 2010 10:11:28.900,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,10.3562
36688.05,0.57089,03 March 2010 10:11:28.050,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,10.0942
36686.675,0.56942,03 March 2010 10:11:26.675,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,10.0681
36687.7,0.55725,03 March 2010 10:11:27.700,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.8529
54635.425,0.5533,03 March 2010 15:10:35.425,734200.6324,0.50901,ACSO,US,25_Nov,S,0.056557,9.7832
36687.025,0.54832,03 March 2010 10:11:27.025,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.6951
84721.625,0.54721,03 March 2010 23:32:01.625,734200.9806,0.50901,ACSO,US,25_Nov,S,0.056557,9.6754
84722.125,0.53995,03 March 2010 23:32:02.125,734200.9806,0.50901,ACSO,US,25_Nov,S,0.056557,9.5471
84721.8,0.53929,03 March 2010 23:32:01.800,734200.9806,0.50901,ACSO,US,25_Nov,S,0.056557,9.5354
36688.4,0.53783,03 March 2010 10:11:28.400,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.5096
10190.175,0.53716,03 March 2010 02:49:50.175,734200.1179,0.50901,ACSO,US,25_Nov,S,0.056557,9.4978
84478.875,0.53672,03 March 2010 23:27:58.875,734200.9778,0.50901,ACSO,US,25_Nov,S,0.056557,9.49
36688.575,0.53458,03 March 2010 10:11:28.575,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.4521
84479.9,0.53169,03 March 2010 23:27:59.900,734200.9778,0.50901,ACSO,US,25_Nov,S,0.056557,9.4009
17178.225,0.52686,03 March 2010 04:46:18.225,734200.1988,0.50901,ACSO,US,25_Nov,S,0.056557,9.3157
36687.2,0.52488,03 March 2010 10:11:27.200,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.2806
62183.325,0.52342,03 March 2010 17:16:23.325,734200.7197,0.50901,ACSO,US,25_Nov,S,0.056557,9.2548
36689.25,0.52187,03 March 2010 10:11:29.250,734200.4246,0.50901,ACSO,US,25_Nov,S,0.056557,9.2274
20747.1,0.71887,04 March 2010 05:45:47.100,734201.2401,0.51697,ACSO,US,25_Nov,S,0.057441,12.5148
20747.225,0.70152,04 March 2010 05:45:47.225,734201.2401,0.51697,ACSO,US,25_Nov,S,0.057441,12.2129
39605.65,0.69449,04 March 2010 11:00:05.650,734201.4584,0.51697,ACSO,US,25_Nov,S,0.057441,12.0904
34144.3,0.67766,04 March 2010 09:29:04.300,734201.3952,0.51697,ACSO,US,25_Nov,S,0.057441,11.7974
59195.625,0.63522,04 March 2010 16:26:35.625,734201.6851,0.51697,ACSO,US,25_Nov,S,0.057441,11.0587
23855.275,0.62121,04 March 2010 06:37:35.275,734201.2761,0.51697,ACSO,US,25_Nov,S,0.057441,10.8147
67770.9,0.62105,04 March 2010 18:49:30.900,734201.7844,0.51697,ACSO,US,25_Nov,S,0.057441,10.812
28019.825,0.62004,04 March 2010 07:46:59.825,734201.3243,0.51697,ACSO,US,25_Nov,S,0.057441,10.7943
33400.55,0.61971,04 March 2010 09:16:40.550,734201.3866,0.51697,ACSO,US,25_Nov,S,0.057441,10.7886
41162.95,0.61888,04 March 2010 11:26:02.950,734201.4764,0.51697,ACSO,US,25_Nov,S,0.057441,10.7742
29145.275,0.61855,04 March 2010 08:05:45.275,734201.3373,0.51697,ACSO,US,25_Nov,S,0.057441,10.7684
23855.4,0.60647,04 March 2010 06:37:35.400,734201.2761,0.51697,ACSO,US,25_Nov,S,0.057441,10.5581
33800.65,0.59532,04 March 2010 09:23:20.650,734201.3912,0.51697,ACSO,US,25_Nov,S,0.057441,10.3641
30566.85,0.59514,04 March 2010 08:29:26.850,734201.3538,0.51697,ACSO,US,25_Nov,S,0.057441,10.3609
69215.575,0.59015,04 March 2010 19:13:35.575,734201.8011,0.51697,ACSO,US,25_Nov,S,0.057441,10.2739
34144.175,0.58929,04 March 2010 09:29:04.175,734201.3952,0.51697,ACSO,US,25_Nov,S,0.057441,10.2591
41164.45,0.58813,04 March 2010 11:26:04.450,734201.4764,0.51697,ACSO,US,25_Nov,S,0.057441,10.2389
28019.7,0.58346,04 March 2010 07:46:59.700,734201.3243,0.51697,ACSO,US,25_Nov,S,0.057441,10.1575
30582.65,0.58227,04 March 2010 08:29:42.650,734201.354,0.51697,ACSO,US,25_Nov,S,0.057441,10.1368
29145.425,0.58197,04 March 2010 08:05:45.425,734201.3373,0.51697,ACSO,US,25_Nov,S,0.057441,10.1315
29775.025,0.76318,05 March 2010 08:16:15.025,734202.3446,0.51973,ACSO,US,25_Nov,S,0.057748,13.2156
29774.875,0.66152,05 March 2010 08:16:14.875,734202.3446,0.51973,ACSO,US,25_Nov,S,0.057748,11.4552
67512.375,0.6605,05 March 2010 18:45:12.375,734202.7814,0.51973,ACSO,US,25_Nov,S,0.057748,11.4376
37881.225,0.63593,05 March 2010 10:31:21.225,734202.4384,0.51973,ACSO,US,25_Nov,S,0.057748,11.0121
37881.05,0.62629,05 March 2010 10:31:21.050,734202.4384,0.51973,ACSO,US,25_Nov,S,0.057748,10.8452
