Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
34680.475,0.59252,25 July 2010 09:38:00.475,734344.4014,0.56901,MCWV,US,25_Nov,S,0.063224,9.3717
12686.3,0.6471,26 July 2010 03:31:26.300,734345.1468,0.58005,MCWV,US,25_Nov,S,0.06445,10.0403
29932.325,0.66716,01 August 2010 08:18:52.325,734351.3464,0.57503,MCWV,US,25_Nov,S,0.063892,10.442
54494.925,0.59813,02 August 2010 15:08:14.925,734352.6307,0.58999,MCWV,US,25_Nov,S,0.065554,9.1241
56860.875,0.68827,03 August 2010 15:47:40.875,734353.6581,0.5864,MCWV,US,25_Nov,S,0.065155,10.5635
70959.275,0.60602,03 August 2010 19:42:39.275,734353.8213,0.5864,MCWV,US,25_Nov,S,0.065155,9.3012
60937.3,0.68655,04 August 2010 16:55:37.300,734354.7053,0.58287,MCWV,US,25_Nov,S,0.064763,10.6009
51005.5,0.79307,05 August 2010 14:10:05.500,734355.5903,0.58025,MCWV,US,25_Nov,S,0.064472,12.301
51005.775,0.68508,05 August 2010 14:10:05.775,734355.5903,0.58025,MCWV,US,25_Nov,S,0.064472,10.626
51806,0.5981,10 August 2010 14:23:26.000,734360.5996,0.58449,MCWV,US,25_Nov,S,0.064944,9.2094
63385,0.59708,10 August 2010 17:36:25.000,734360.7336,0.58449,MCWV,US,25_Nov,S,0.064944,9.1937
51271.4,0.60677,13 August 2010 14:14:31.400,734363.5934,0.58493,MCWV,US,25_Nov,S,0.064992,9.3361
51271.675,0.60424,13 August 2010 14:14:31.675,734363.5934,0.58493,MCWV,US,25_Nov,S,0.064992,9.2972
16629.4,0.62141,15 August 2010 04:37:09.400,734365.1925,0.56838,MCWV,US,25_Nov,S,0.063154,9.8397
29517.3,0.64892,16 August 2010 08:11:57.300,734366.3416,0.58636,MCWV,US,25_Nov,S,0.065152,9.9602
75166.75,0.71095,17 August 2010 20:52:46.750,734367.87,0.58828,MCWV,US,25_Nov,S,0.065364,10.8767
53807.675,0.67285,18 August 2010 14:56:47.675,734368.6228,0.58195,MCWV,US,25_Nov,S,0.064661,10.4058
79017.025,0.62149,18 August 2010 21:56:57.025,734368.9145,0.58195,MCWV,US,25_Nov,S,0.064661,9.6116
63424.275,0.60772,19 August 2010 17:37:04.275,734369.7341,0.58388,MCWV,US,25_Nov,S,0.064875,9.3675
70863.4,0.64672,24 August 2010 19:41:03.400,734374.8202,0.58029,MCWV,US,25_Nov,S,0.064476,10.0304
49164.35,0.70569,26 August 2010 13:39:24.350,734376.569,0.5861,MCWV,US,25_Nov,S,0.065123,10.8364
14726.475,0.59254,26 August 2010 04:05:26.475,734376.1704,0.5861,MCWV,US,25_Nov,S,0.065123,9.0989
27947.2,0.59001,26 August 2010 07:45:47.200,734376.3235,0.5861,MCWV,US,25_Nov,S,0.065123,9.06
69474.375,0.58685,26 August 2010 19:17:54.375,734376.8041,0.5861,MCWV,US,25_Nov,S,0.065123,9.0115
50883.425,0.66887,31 August 2010 14:08:03.425,734381.5889,0.59088,MCWV,US,25_Nov,S,0.065653,10.1878
28185.3,0.63947,02 September 2010 07:49:45.300,734383.3262,0.59639,MCWV,US,25_Nov,S,0.066265,9.6501
36647.9,0.6089,04 September 2010 10:10:47.900,734385.4242,0.58427,MCWV,US,25_Nov,S,0.064919,9.3794
34934.125,0.5986,05 September 2010 09:42:14.125,734386.4043,0.57659,MCWV,US,25_Nov,S,0.064065,9.3436
12029.275,0.65686,06 September 2010 03:20:29.275,734387.1392,0.57246,MCWV,US,25_Nov,S,0.063607,10.3269
