Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
63227.85,0.65499,17 December 2010 17:33:47.850,734489.7318,0.544,M54A,TA,25_Nov,S,0.060444,10.8363
76929.425,0.57962,18 December 2010 21:22:09.425,734490.8904,0.51463,M54A,TA,25_Nov,S,0.057181,10.1365
64783.3,0.67109,28 December 2010 17:59:43.300,734500.7498,0.52432,M54A,TA,25_Nov,S,0.058258,11.5193
73702.075,0.56315,04 February 2011 20:28:22.075,734538.853,0.55789,M54A,TA,25_Nov,S,0.061988,9.0848
29316.65,0.59124,23 February 2011 08:08:36.650,734557.3393,0.56494,M54A,TA,25_Nov,S,0.062771,9.419
49984.175,0.76749,06 March 2011 13:53:04.175,734568.5785,0.54045,M54A,TA,25_Nov,S,0.06005,12.781
22697.5,0.58153,13 March 2011 06:18:17.500,734575.2627,0.54351,M54A,TA,25_Nov,S,0.06039,9.6297
38547.225,0.80839,17 March 2011 10:42:27.225,734579.4461,0.58608,M54A,TA,25_Nov,S,0.06512,12.4138
39196.375,0.69146,17 March 2011 10:53:16.375,734579.4537,0.58608,M54A,TA,25_Nov,S,0.06512,10.6182
61438.375,0.83897,10 April 2011 17:03:58.375,734603.7111,0.55304,M54A,TA,25_Nov,S,0.061449,13.653
15407.25,0.82093,24 April 2011 04:16:47.250,734617.1783,0.53661,M54A,TA,25_Nov,S,0.059623,13.7686
42776.075,0.87139,03 May 2011 11:52:56.075,734626.4951,0.57341,M54A,TA,25_Nov,S,0.063712,13.677
56917.725,0.55886,18 May 2011 15:48:37.725,734641.6588,0.5471,M54A,TA,25_Nov,S,0.060788,9.1935
66564.075,0.62064,24 May 2011 18:29:24.075,734647.7704,0.55936,M54A,TA,25_Nov,S,0.062151,9.986
6586.2,0.5639,30 May 2011 01:49:46.200,734653.0762,0.55335,M54A,TA,25_Nov,S,0.061484,9.1715
134.1,0.95172,09 June 2011 00:02:14.100,734663.0016,0.56904,M54A,TA,25_Nov,S,0.063227,15.0525
60592.725,0.61844,18 June 2011 16:49:52.725,734672.7013,0.56936,M54A,TA,25_Nov,S,0.063262,9.7759
31323.4,1.1636,20 June 2011 08:42:03.400,734674.3625,0.56807,M54A,TA,25_Nov,S,0.063119,18.4346
71306.975,0.57312,20 June 2011 19:48:26.975,734674.8253,0.56807,M54A,TA,25_Nov,S,0.063119,9.0799
2605.025,0.61141,27 June 2011 00:43:25.025,734681.0302,0.6073,M54A,TA,25_Nov,S,0.067478,9.0609
13510.5,0.90905,13 July 2011 03:45:10.500,734697.1564,0.58045,M54A,TA,25_Nov,S,0.064494,14.095
77133.5,1.1905,19 July 2011 21:25:33.500,734703.8927,0.58054,M54A,TA,25_Nov,S,0.064504,18.4564
49796.45,0.63703,28 July 2011 13:49:56.450,734712.5763,0.57788,M54A,TA,25_Nov,S,0.064209,9.9211
