Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
25727.1,0.64546,19 January 2011 07:08:47.100,734522.2978,0.55383,O56A,TA,25_Nov,S,0.061536,10.4891
78233.05,0.57173,08 February 2011 21:43:53.050,734542.9055,0.54765,O56A,TA,25_Nov,S,0.06085,9.3957
25312.675,0.5492,28 February 2011 07:01:52.675,734562.293,0.54394,O56A,TA,25_Nov,S,0.060438,9.087
68897.6,0.56652,11 March 2011 19:08:17.600,734573.7974,0.53687,O56A,TA,25_Nov,S,0.059652,9.4971
72547.275,0.59333,14 March 2011 20:09:07.275,734576.8397,0.55999,O56A,TA,25_Nov,S,0.062222,9.5357
39219.45,0.83914,17 March 2011 10:53:39.450,734579.4539,0.55949,O56A,TA,25_Nov,S,0.062165,13.4985
38570.275,0.80767,17 March 2011 10:42:50.275,734579.4464,0.55949,O56A,TA,25_Nov,S,0.062165,12.9924
2522.675,0.55152,18 March 2011 00:42:02.675,734580.0292,0.55136,O56A,TA,25_Nov,S,0.061262,9.0026
1891.05,0.56637,26 March 2011 00:31:31.050,734588.0219,0.54868,O56A,TA,25_Nov,S,0.060964,9.2903
1890.1,0.56313,26 March 2011 00:31:30.100,734588.0219,0.54868,O56A,TA,25_Nov,S,0.060964,9.237
75618.825,0.55078,28 March 2011 21:00:18.825,734590.8752,0.54734,O56A,TA,25_Nov,S,0.060815,9.0567
61461.45,0.59961,10 April 2011 17:04:21.450,734603.7114,0.54811,O56A,TA,25_Nov,S,0.060901,9.8457
32736.225,0.54359,20 April 2011 09:05:36.225,734613.3789,0.54031,O56A,TA,25_Nov,S,0.060034,9.0546
61415.475,0.58872,29 April 2011 17:03:35.475,734622.7108,0.54403,O56A,TA,25_Nov,S,0.060448,9.7393
157.15,0.63228,09 June 2011 00:02:37.150,734663.0018,0.55692,O56A,TA,25_Nov,S,0.06188,10.2179
75512.975,0.60942,10 June 2011 20:58:32.975,734664.874,0.5573,O56A,TA,25_Nov,S,0.061922,9.8416
69187.45,0.57231,11 June 2011 19:13:07.450,734665.8008,0.55581,O56A,TA,25_Nov,S,0.061756,9.2672
31346.45,1.0183,20 June 2011 08:42:26.450,734674.3628,0.55422,O56A,TA,25_Nov,S,0.06158,16.5355
75968.175,0.91913,07 July 2011 21:06:08.175,734691.8793,0.55861,O56A,TA,25_Nov,S,0.062068,14.8086
69318.825,0.59457,14 July 2011 19:15:18.825,734698.8023,0.55831,O56A,TA,25_Nov,S,0.062035,9.5845
54047,0.64524,15 July 2011 15:00:47.000,734699.6255,0.56011,O56A,TA,25_Nov,S,0.062235,10.3679
54047.675,0.56706,15 July 2011 15:00:47.675,734699.6256,0.56011,O56A,TA,25_Nov,S,0.062235,9.1117
77342.875,0.55807,16 July 2011 21:29:02.875,734700.8952,0.55643,O56A,TA,25_Nov,S,0.061826,9.0265
75677.8,0.58143,18 July 2011 21:01:17.800,734702.8759,0.55945,O56A,TA,25_Nov,S,0.062161,9.3537
77156.575,0.88292,19 July 2011 21:25:56.575,734703.893,0.5662,O56A,TA,25_Nov,S,0.062912,14.0343
72651.375,0.57856,28 July 2011 20:10:51.375,734712.8409,0.5781,O56A,TA,25_Nov,S,0.064233,9.0072
28861.475,0.93874,22 August 2011 08:01:01.475,734737.334,0.56103,O56A,TA,25_Nov,S,0.062336,15.0593
71091.2,1.297,25 August 2011 19:44:51.200,734740.8228,0.55244,O56A,TA,25_Nov,S,0.061382,21.1301
79275.2,0.61596,25 August 2011 22:01:15.200,734740.9175,0.55244,O56A,TA,25_Nov,S,0.061382,10.0348
75835.9,0.76193,02 September 2011 21:03:55.900,734748.8777,0.55798,O56A,TA,25_Nov,S,0.061998,12.2896
36650.425,0.6181,10 September 2011 10:10:50.425,734756.4242,0.55343,O56A,TA,25_Nov,S,0.061492,10.0518
37300.35,0.91293,22 September 2011 10:21:40.350,734768.4317,0.56962,O56A,TA,25_Nov,S,0.063291,14.4243
53020.375,0.60759,25 September 2011 14:43:40.375,734771.6137,0.54693,O56A,TA,25_Nov,S,0.060771,9.9981
3999.75,0.90384,26 September 2011 01:06:39.750,734772.0463,0.56116,O56A,TA,25_Nov,S,0.062351,14.496
75332.875,0.60281,26 September 2011 20:55:32.875,734772.8719,0.56116,O56A,TA,25_Nov,S,0.062351,9.6679
3187.4,1.299,30 September 2011 00:53:07.400,734776.0369,0.54867,O56A,TA,25_Nov,S,0.060964,21.3084
4843.45,0.5783,09 October 2011 01:20:43.450,734785.0561,0.53501,O56A,TA,25_Nov,S,0.059446,9.7281
81699.875,0.93695,20 October 2011 22:41:39.875,734796.9456,0.53268,O56A,TA,25_Nov,S,0.059187,15.8304
65754.225,0.5396,19 November 2011 18:15:54.225,734826.761,0.53871,O56A,TA,25_Nov,S,0.059857,9.0148
77694.175,0.89103,20 November 2011 21:34:54.175,734827.8992,0.53511,O56A,TA,25_Nov,S,0.059457,14.9862
82217.45,0.58461,21 November 2011 22:50:17.450,734828.9516,0.55044,O56A,TA,25_Nov,S,0.061161,9.5585
24476.95,1.9781,25 November 2011 06:47:56.950,734832.2833,0.5459,O56A,TA,25_Nov,S,0.060655,32.6114
12114.175,0.58541,25 November 2011 03:21:54.175,734832.1402,0.5459,O56A,TA,25_Nov,S,0.060655,9.6514
