Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
61019.25,0.67485,12 November 2011 16:56:59.250,734819.7062,0.55463,N54A,TA,25_Nov,S,0.061626,10.9508
56637.025,0.83266,13 November 2011 15:43:57.025,734820.6555,0.55915,N54A,TA,25_Nov,S,0.062128,13.4024
77667.325,1.2213,20 November 2011 21:34:27.325,734827.8989,0.57905,N54A,TA,25_Nov,S,0.064339,18.9829
82190.575,0.66581,21 November 2011 22:49:50.575,734828.9513,0.55291,N54A,TA,25_Nov,S,0.061435,10.8378
83166.075,0.60241,24 November 2011 23:06:06.075,734831.9626,0.56852,N54A,TA,25_Nov,S,0.063169,9.5365
24450.075,1.9689,25 November 2011 06:47:30.075,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,31.9903
12087.3,1.1458,25 November 2011 03:21:27.300,734832.1399,0.55393,N54A,TA,25_Nov,S,0.061547,18.6168
24449.975,0.59163,25 November 2011 06:47:29.975,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,9.6126
24450.175,0.59076,25 November 2011 06:47:30.175,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,9.5985
41898,0.76221,04 December 2011 11:38:18.000,734841.4849,0.5591,N54A,TA,25_Nov,S,0.062122,12.2694
4782.475,0.82339,14 December 2011 01:19:42.475,734851.0554,0.55442,N54A,TA,25_Nov,S,0.061603,13.3662
13933.6,1.1124,18 December 2011 03:52:13.600,734855.1613,0.56235,N54A,TA,25_Nov,S,0.062483,17.8037
13124.15,1.2935,21 December 2011 03:38:44.150,734858.1519,0.56327,N54A,TA,25_Nov,S,0.062586,20.6677
50861.75,0.62435,29 December 2011 14:07:41.750,734866.5887,0.55785,N54A,TA,25_Nov,S,0.061983,10.0729
72303.125,1.0762,31 December 2011 20:05:03.125,734868.8368,0.56459,N54A,TA,25_Nov,S,0.062732,17.1559
