Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
37306.225,0.91514,22 September 2011 10:21:46.225,734768.4318,0.76342,MCWV,US,25_Nov,S,0.084825,10.7886
4005.6,1.0158,26 September 2011 01:06:45.600,734772.0464,0.75141,MCWV,US,25_Nov,S,0.08349,12.1671
3193.3,1.4599,30 September 2011 00:53:13.300,734776.037,0.75749,MCWV,US,25_Nov,S,0.084165,17.346
49676.85,0.77501,19 October 2011 13:47:56.850,734795.575,0.76165,MCWV,US,25_Nov,S,0.084628,9.1578
81705.725,1.103,20 October 2011 22:41:45.725,734796.9457,0.75531,MCWV,US,25_Nov,S,0.083923,13.1432
58802.05,0.73233,23 October 2011 16:20:02.050,734799.6806,0.72581,MCWV,US,25_Nov,S,0.080645,9.0809
43564.125,0.70369,06 November 2011 12:06:04.125,734813.5042,0.6243,MCWV,US,25_Nov,S,0.069366,10.1446
68001.375,0.7006,06 November 2011 18:53:21.375,734813.7871,0.6243,MCWV,US,25_Nov,S,0.069366,10.1001
41992.325,0.64082,06 November 2011 11:39:52.325,734813.486,0.6243,MCWV,US,25_Nov,S,0.069366,9.2382
54338.25,0.64009,06 November 2011 15:05:38.250,734813.6289,0.6243,MCWV,US,25_Nov,S,0.069366,9.2277
68661.075,0.62724,06 November 2011 19:04:21.075,734813.7947,0.6243,MCWV,US,25_Nov,S,0.069366,9.0424
32624,0.77047,18 December 2011 09:03:44.000,734855.3776,0.72774,MCWV,US,25_Nov,S,0.08086,9.5284
23133.775,1.0465,24 December 2011 06:25:33.775,734861.2678,0.71308,MCWV,US,25_Nov,S,0.079231,13.2077
80053,0.73057,24 December 2011 22:14:13.000,734861.9265,0.71308,MCWV,US,25_Nov,S,0.079231,9.2208
72335.8,1.4527,31 December 2011 20:05:35.800,734868.8372,0.73529,MCWV,US,25_Nov,S,0.081699,17.7814
22852.325,0.75475,31 December 2011 06:20:52.325,734868.2645,0.73529,MCWV,US,25_Nov,S,0.081699,9.2381
2877.625,0.72201,01 January 2012 00:47:57.625,734869.0333,0.70564,MCWV,US,25_Nov,S,0.078405,9.2088
76630.05,0.83041,02 January 2012 21:17:10.050,734870.8869,0.72333,MCWV,US,25_Nov,S,0.08037,10.3324
