Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
78363.95,0.58565,16 September 2011 21:46:03.950,734762.907,0.53834,N54A,TA,25_Nov,S,0.059816,9.7909
62029.375,0.58346,16 September 2011 17:13:49.375,734762.7179,0.53834,N54A,TA,25_Nov,S,0.059816,9.7544
78368.775,0.57488,16 September 2011 21:46:08.775,734762.907,0.53834,N54A,TA,25_Nov,S,0.059816,9.6108
55735.75,0.57564,17 September 2011 15:28:55.750,734763.6451,0.55327,N54A,TA,25_Nov,S,0.061474,9.364
35923.525,0.62667,19 September 2011 09:58:43.525,734765.4158,0.55308,N54A,TA,25_Nov,S,0.061453,10.1975
37273.475,0.74844,22 September 2011 10:21:13.475,734768.4314,0.55404,N54A,TA,25_Nov,S,0.06156,12.158
73235.625,0.60077,23 September 2011 20:20:35.625,734769.8476,0.55933,N54A,TA,25_Nov,S,0.062148,9.6669
52993.5,0.9739,25 September 2011 14:43:13.500,734771.6134,0.5794,N54A,TA,25_Nov,S,0.064378,15.1279
34634.875,0.62089,25 September 2011 09:37:14.875,734771.4009,0.5794,N54A,TA,25_Nov,S,0.064378,9.6445
1951.275,0.5552,27 September 2011 00:32:31.275,734773.0226,0.55443,N54A,TA,25_Nov,S,0.061603,9.0125
3160.525,1.2781,30 September 2011 00:52:40.525,734776.0366,0.54968,N54A,TA,25_Nov,S,0.061076,20.9261
17618.1,0.76059,06 October 2011 04:53:38.100,734782.2039,0.56148,N54A,TA,25_Nov,S,0.062387,12.1914
63592.7,0.71141,08 October 2011 17:39:52.700,734784.736,0.56999,N54A,TA,25_Nov,S,0.063332,11.233
63592.8,0.61163,08 October 2011 17:39:52.800,734784.736,0.56999,N54A,TA,25_Nov,S,0.063332,9.6574
48495.575,0.63423,13 October 2011 13:28:15.575,734789.5613,0.55695,N54A,TA,25_Nov,S,0.061883,10.2487
70757.625,0.56269,13 October 2011 19:39:17.625,734789.819,0.55695,N54A,TA,25_Nov,S,0.061883,9.0927
81673,0.837,20 October 2011 22:41:13.000,734796.9453,0.55069,N54A,TA,25_Nov,S,0.061188,13.6792
81663.975,0.55893,20 October 2011 22:41:03.975,734796.9452,0.55069,N54A,TA,25_Nov,S,0.061188,9.1347
55067.225,0.76557,21 October 2011 15:17:47.225,734797.6374,0.55065,N54A,TA,25_Nov,S,0.061183,12.5129
6430.175,0.58957,26 October 2011 01:47:10.175,734802.0744,0.55473,N54A,TA,25_Nov,S,0.061636,9.5653
61019.25,0.67485,12 November 2011 16:56:59.250,734819.7062,0.55463,N54A,TA,25_Nov,S,0.061626,10.9508
56637.025,0.83266,13 November 2011 15:43:57.025,734820.6555,0.55915,N54A,TA,25_Nov,S,0.062128,13.4024
77667.325,1.2213,20 November 2011 21:34:27.325,734827.8989,0.57905,N54A,TA,25_Nov,S,0.064339,18.9829
82190.575,0.66581,21 November 2011 22:49:50.575,734828.9513,0.55291,N54A,TA,25_Nov,S,0.061435,10.8378
83166.075,0.60241,24 November 2011 23:06:06.075,734831.9626,0.56852,N54A,TA,25_Nov,S,0.063169,9.5365
24450.075,1.9689,25 November 2011 06:47:30.075,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,31.9903
12087.3,1.1458,25 November 2011 03:21:27.300,734832.1399,0.55393,N54A,TA,25_Nov,S,0.061547,18.6168
24449.975,0.59163,25 November 2011 06:47:29.975,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,9.6126
24450.175,0.59076,25 November 2011 06:47:30.175,734832.283,0.55393,N54A,TA,25_Nov,S,0.061547,9.5985
41898,0.76221,04 December 2011 11:38:18.000,734841.4849,0.5591,N54A,TA,25_Nov,S,0.062122,12.2694
4782.475,0.82339,14 December 2011 01:19:42.475,734851.0554,0.55442,N54A,TA,25_Nov,S,0.061603,13.3662
13933.6,1.1124,18 December 2011 03:52:13.600,734855.1613,0.56235,N54A,TA,25_Nov,S,0.062483,17.8037
13124.15,1.2935,21 December 2011 03:38:44.150,734858.1519,0.56327,N54A,TA,25_Nov,S,0.062586,20.6677
50861.75,0.62435,29 December 2011 14:07:41.750,734866.5887,0.55785,N54A,TA,25_Nov,S,0.061983,10.0729
72303.125,1.0762,31 December 2011 20:05:03.125,734868.8368,0.56459,N54A,TA,25_Nov,S,0.062732,17.1559
