Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
24455.075,1.9959,25 November 2011 06:47:35.075,734832.283,0.6175,N54A,TA,25_Nov,S,0.068612,29.0902
12092.3,1.2692,25 November 2011 03:21:32.300,734832.14,0.6175,N54A,TA,25_Nov,S,0.068612,18.4981
24495.875,1.4501,25 November 2011 06:48:15.875,734832.2835,0.50099,ACSO,US,25_Nov,S,0.055665,26.0494
75239.125,0.70136,25 November 2011 20:53:59.125,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,12.5995
75238.275,0.68579,25 November 2011 20:53:58.275,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,12.3199
75238.95,0.68482,25 November 2011 20:53:58.950,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,12.3024
7859.45,0.65618,25 November 2011 02:10:59.450,734832.091,0.50099,ACSO,US,25_Nov,S,0.055665,11.7879
75238.775,0.6503,25 November 2011 20:53:58.775,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.6822
75238.1,0.64766,25 November 2011 20:53:58.100,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.6349
75237.425,0.64641,25 November 2011 20:53:57.425,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.6124
75238.625,0.64423,25 November 2011 20:53:58.625,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.5732
75239.3,0.64376,25 November 2011 20:53:59.300,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.5648
75239.8,0.64067,25 November 2011 20:53:59.800,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.5092
75216.425,0.64025,25 November 2011 20:53:36.425,734832.8706,0.50099,ACSO,US,25_Nov,S,0.055665,11.5017
75239.975,0.63546,25 November 2011 20:53:59.975,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.4157
75215.575,0.62526,25 November 2011 20:53:35.575,734832.8706,0.50099,ACSO,US,25_Nov,S,0.055665,11.2325
75259.75,0.62456,25 November 2011 20:54:19.750,734832.8711,0.50099,ACSO,US,25_Nov,S,0.055665,11.2199
7859.275,0.62311,25 November 2011 02:10:59.275,734832.091,0.50099,ACSO,US,25_Nov,S,0.055665,11.1938
75260.25,0.62309,25 November 2011 20:54:20.250,734832.8711,0.50099,ACSO,US,25_Nov,S,0.055665,11.1935
7433.35,0.62106,25 November 2011 02:03:53.350,734832.086,0.50099,ACSO,US,25_Nov,S,0.055665,11.1571
7500.775,0.62024,25 November 2011 02:05:00.775,734832.0868,0.50099,ACSO,US,25_Nov,S,0.055665,11.1424
75238.45,0.61906,25 November 2011 20:53:58.450,734832.8708,0.50099,ACSO,US,25_Nov,S,0.055665,11.1212
24496.95,1.9951,25 November 2011 06:48:16.950,734832.2835,0.73733,O56A,TA,25_Nov,S,0.081925,24.3529
24487.725,1.3954,25 November 2011 06:48:07.725,734832.2834,0.50297,MCWV,US,25_Nov,S,0.055885,24.9695
62225.25,0.58704,25 November 2011 17:17:05.250,734832.7202,0.50297,MCWV,US,25_Nov,S,0.055885,10.5043
72645.15,0.54515,25 November 2011 20:10:45.150,734832.8408,0.50297,MCWV,US,25_Nov,S,0.055885,9.7549
72645.425,0.51685,25 November 2011 20:10:45.425,734832.8408,0.50297,MCWV,US,25_Nov,S,0.055885,9.2485
24471.65,1.9792,25 November 2011 06:47:51.650,734832.2832,0.86411,ERPA,US,25_Nov,S,0.096013,20.6138
24463.9,1.9757,25 November 2011 06:47:43.900,734832.2831,0.63894,M54A,TA,25_Nov,S,0.070994,27.8292
12101.125,1.4943,25 November 2011 03:21:41.125,734832.1401,0.63894,M54A,TA,25_Nov,S,0.070994,21.0489
20566.275,0.94442,26 November 2011 05:42:46.275,734833.238,0.64472,M54A,TA,25_Nov,S,0.071636,13.1836
