Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Template
28859.35,1.0737,22 August 2011 08:00:59.350,734737.334,0.80782,MCWV,M4_Mainshock_P
3997.6,1.0913,26 September 2011 01:06:37.600,734772.0463,0.80598,MCWV,M4_Mainshock_P
3185.325,0.82147,30 September 2011 00:53:05.325,734776.0369,0.81611,MCWV,M4_Mainshock_P
81697.75,0.86035,20 October 2011 22:41:37.750,734796.9456,0.80686,MCWV,M4_Mainshock_P
24474.8,1.2374,25 November 2011 06:47:54.800,734832.2833,0.76346,MCWV,M4_Mainshock_P
23125.775,1.0041,24 December 2011 06:25:25.775,734861.2677,0.75777,MCWV,M4_Mainshock_P
72327.825,1.9724,31 December 2011 20:05:27.825,734868.8371,0.79243,MCWV,M4_Mainshock_P
28840.825,0.94532,22 August 2011 08:00:40.825,734737.3338,0.91885,N54A,M4_Mainshock_P
71070.55,0.96547,25 August 2011 19:44:30.550,734740.8226,0.88375,N54A,M4_Mainshock_P
75815.25,0.96695,02 September 2011 21:03:35.250,734748.8775,0.94541,N54A,M4_Mainshock_P
37279.725,1.1047,22 September 2011 10:21:19.725,734768.4315,0.94428,N54A,M4_Mainshock_P
3979.125,1.0141,26 September 2011 01:06:19.125,734772.0461,0.91633,N54A,M4_Mainshock_P
81679.225,1.0593,20 October 2011 22:41:19.225,734796.9454,0.91261,N54A,M4_Mainshock_P
77673.575,0.88893,20 November 2011 21:34:33.575,734827.899,0.85258,N54A,M4_Mainshock_P
10224.05,0.88412,20 November 2011 02:50:24.050,734827.1183,0.85258,N54A,M4_Mainshock_P
24456.3,1.076,25 November 2011 06:47:36.300,734832.2831,0.88577,N54A,M4_Mainshock_P
20558.675,0.96212,26 November 2011 05:42:38.675,734833.2379,0.88736,N54A,M4_Mainshock_P
42243.65,0.95456,27 November 2011 11:44:03.650,734834.4889,0.86661,N54A,M4_Mainshock_P
4788.7,1.0033,14 December 2011 01:19:48.700,734851.0554,0.93427,N54A,M4_Mainshock_P
23107.325,0.94104,24 December 2011 06:25:07.325,734861.2674,0.87312,N54A,M4_Mainshock_P
72309.35,1.9658,31 December 2011 20:05:09.350,734868.8369,0.92265,N54A,M4_Mainshock_P
80983.35,0.90353,13 January 2012 22:29:43.350,734881.9373,0.89152,N54A,M4_Mainshock_P
