Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Template
67977.1,0.8438,06 November 2010 18:52:57.100,734448.7868,0.80795,MCWV,M4_Mainshock_S
27255.45,0.83808,06 November 2010 07:34:15.450,734448.3155,0.80795,MCWV,M4_Mainshock_S
69097,0.82982,06 November 2010 19:11:37.000,734448.7997,0.80795,MCWV,M4_Mainshock_S
32025.825,0.89759,07 November 2010 08:53:45.825,734449.3707,0.79613,MCWV,M4_Mainshock_S
32025.2,0.8683,07 November 2010 08:53:45.200,734449.3707,0.79613,MCWV,M4_Mainshock_S
38400.875,0.86313,07 November 2010 10:40:00.875,734449.4445,0.79613,MCWV,M4_Mainshock_S
39828.3,0.84743,07 November 2010 11:03:48.300,734449.461,0.79613,MCWV,M4_Mainshock_S
39827.875,0.84084,07 November 2010 11:03:47.875,734449.461,0.79613,MCWV,M4_Mainshock_S
39828.075,0.83419,07 November 2010 11:03:48.075,734449.461,0.79613,MCWV,M4_Mainshock_S
32026.225,0.81217,07 November 2010 08:53:46.225,734449.3707,0.79613,MCWV,M4_Mainshock_S
39829.325,0.79663,07 November 2010 11:03:49.325,734449.461,0.79613,MCWV,M4_Mainshock_S
70226.475,0.79653,07 November 2010 19:30:26.475,734449.8128,0.79613,MCWV,M4_Mainshock_S
34792,0.81828,08 November 2010 09:39:52.000,734450.4027,0.81738,MCWV,M4_Mainshock_S
32300.875,0.91885,09 November 2010 08:58:20.875,734451.3739,0.83758,MCWV,M4_Mainshock_S
32808.875,0.87992,09 November 2010 09:06:48.875,734451.3797,0.83758,MCWV,M4_Mainshock_S
32808.45,0.87077,09 November 2010 09:06:48.450,734451.3797,0.83758,MCWV,M4_Mainshock_S
58474.2,0.86297,10 November 2010 16:14:34.200,734452.6768,0.84079,MCWV,M4_Mainshock_S
58142.875,0.95542,11 November 2010 16:09:02.875,734453.6729,0.83554,MCWV,M4_Mainshock_S
58142.225,0.86811,11 November 2010 16:09:02.225,734453.6729,0.83554,MCWV,M4_Mainshock_S
58142.45,0.85212,11 November 2010 16:09:02.450,734453.6729,0.83554,MCWV,M4_Mainshock_S
63260,0.83609,13 November 2010 17:34:20.000,734455.7322,0.81594,MCWV,M4_Mainshock_S
78846.475,0.82393,13 November 2010 21:54:06.475,734455.9126,0.81594,MCWV,M4_Mainshock_S
62886.35,0.94783,18 November 2010 17:28:06.350,734460.7279,0.8322,MCWV,M4_Mainshock_S
30631.275,0.83571,18 November 2010 08:30:31.275,734460.3545,0.8322,MCWV,M4_Mainshock_S
28494.15,0.856,19 November 2010 07:54:54.150,734461.3298,0.82285,MCWV,M4_Mainshock_S
26713.2,0.81452,20 November 2010 07:25:13.200,734462.3092,0.8103,MCWV,M4_Mainshock_S
36001.925,0.90753,21 November 2010 10:00:01.925,734463.4167,0.79981,MCWV,M4_Mainshock_S
36001.3,0.88077,21 November 2010 10:00:01.300,734463.4167,0.79981,MCWV,M4_Mainshock_S
44289.45,0.87906,21 November 2010 12:18:09.450,734463.5126,0.79981,MCWV,M4_Mainshock_S
44289.65,0.86008,21 November 2010 12:18:09.650,734463.5126,0.79981,MCWV,M4_Mainshock_S
36001.725,0.85636,21 November 2010 10:00:01.725,734463.4167,0.79981,MCWV,M4_Mainshock_S
36002.55,0.85222,21 November 2010 10:00:02.550,734463.4167,0.79981,MCWV,M4_Mainshock_S
36001.525,0.84103,21 November 2010 10:00:01.525,734463.4167,0.79981,MCWV,M4_Mainshock_S
36002.15,0.83781,21 November 2010 10:00:02.150,734463.4167,0.79981,MCWV,M4_Mainshock_S
44290.075,0.83171,21 November 2010 12:18:10.075,734463.5126,0.79981,MCWV,M4_Mainshock_S
34334.825,0.81711,21 November 2010 09:32:14.825,734463.3974,0.79981,MCWV,M4_Mainshock_S
39233.475,0.81357,21 November 2010 10:53:53.475,734463.4541,0.79981,MCWV,M4_Mainshock_S
72163.55,0.95467,24 November 2010 20:02:43.550,734466.8352,0.83091,MCWV,M4_Mainshock_S
27921.125,0.95636,25 November 2010 07:45:21.125,734467.3232,0.79116,MCWV,M4_Mainshock_S
27921.35,0.87669,25 November 2010 07:45:21.350,734467.3232,0.79116,MCWV,M4_Mainshock_S
4108.45,0.86869,25 November 2010 01:08:28.450,734467.0476,0.79116,MCWV,M4_Mainshock_S
73011.6,0.84563,25 November 2010 20:16:51.600,734467.845,0.79116,MCWV,M4_Mainshock_S
20857.8,0.80641,25 November 2010 05:47:37.800,734467.2414,0.79116,MCWV,M4_Mainshock_S
11962.825,0.79435,25 November 2010 03:19:22.825,734467.1385,0.79116,MCWV,M4_Mainshock_S
10372.975,0.85696,26 November 2010 02:52:52.975,734468.1201,0.77137,MCWV,M4_Mainshock_S
50384.375,0.84003,26 November 2010 13:59:44.375,734468.5832,0.77137,MCWV,M4_Mainshock_S
50384.175,0.82165,26 November 2010 13:59:44.175,734468.5832,0.77137,MCWV,M4_Mainshock_S
50383.975,0.79483,26 November 2010 13:59:43.975,734468.5831,0.77137,MCWV,M4_Mainshock_S
50384.6,0.78918,26 November 2010 13:59:44.600,734468.5832,0.77137,MCWV,M4_Mainshock_S
44741.125,0.7831,26 November 2010 12:25:41.125,734468.5178,0.77137,MCWV,M4_Mainshock_S
30182.85,0.7806,26 November 2010 08:23:02.850,734468.3493,0.77137,MCWV,M4_Mainshock_S
36201.975,0.96163,27 November 2010 10:03:21.975,734469.419,0.77426,MCWV,M4_Mainshock_S
39285.6,0.91499,27 November 2010 10:54:45.600,734469.4547,0.77426,MCWV,M4_Mainshock_S
39285.825,0.88397,27 November 2010 10:54:45.825,734469.4547,0.77426,MCWV,M4_Mainshock_S
36202.175,0.88248,27 November 2010 10:03:22.175,734469.419,0.77426,MCWV,M4_Mainshock_S
39670.525,0.85056,27 November 2010 11:01:10.525,734469.4591,0.77426,MCWV,M4_Mainshock_S
45805.625,0.84597,27 November 2010 12:43:25.625,734469.5302,0.77426,MCWV,M4_Mainshock_S
36201.75,0.83794,27 November 2010 10:03:21.750,734469.419,0.77426,MCWV,M4_Mainshock_S
45805.425,0.81604,27 November 2010 12:43:25.425,734469.5302,0.77426,MCWV,M4_Mainshock_S
39670.1,0.79914,27 November 2010 11:01:10.100,734469.4591,0.77426,MCWV,M4_Mainshock_S
45805.85,0.79829,27 November 2010 12:43:25.850,734469.5302,0.77426,MCWV,M4_Mainshock_S
39285.4,0.79238,27 November 2010 10:54:45.400,734469.4547,0.77426,MCWV,M4_Mainshock_S
39670.925,0.78811,27 November 2010 11:01:10.925,734469.4592,0.77426,MCWV,M4_Mainshock_S
39285.175,0.78677,27 November 2010 10:54:45.175,734469.4547,0.77426,MCWV,M4_Mainshock_S
36201.55,0.77953,27 November 2010 10:03:21.550,734469.419,0.77426,MCWV,M4_Mainshock_S
2519.675,0.77917,27 November 2010 00:41:59.675,734469.0292,0.77426,MCWV,M4_Mainshock_S
18584.25,0.83936,28 November 2010 05:09:44.250,734470.2151,0.78806,MCWV,M4_Mainshock_S
41396.475,0.8353,28 November 2010 11:29:56.475,734470.4791,0.78806,MCWV,M4_Mainshock_S
18584.45,0.81209,28 November 2010 05:09:44.450,734470.2151,0.78806,MCWV,M4_Mainshock_S
28946.15,0.78814,28 November 2010 08:02:26.150,734470.335,0.78806,MCWV,M4_Mainshock_S
16971.625,0.9093,30 November 2010 04:42:51.625,734472.1964,0.82494,MCWV,M4_Mainshock_S
16691.15,0.78173,01 December 2010 04:38:11.150,734473.1932,0.78119,MCWV,M4_Mainshock_S
62745.075,0.82735,02 December 2010 17:25:45.075,734474.7262,0.82696,MCWV,M4_Mainshock_S
76025.75,0.83735,03 December 2010 21:07:05.750,734475.8799,0.82309,MCWV,M4_Mainshock_S
74591,0.99542,07 December 2010 20:43:11.000,734479.8633,0.81078,MCWV,M4_Mainshock_S
77848.325,0.81736,08 December 2010 21:37:28.325,734480.901,0.78789,MCWV,M4_Mainshock_S
59034.775,0.80966,13 December 2010 16:23:54.775,734485.6833,0.80038,MCWV,M4_Mainshock_S
76935.25,0.88079,17 December 2010 21:22:15.250,734489.8905,0.82419,MCWV,M4_Mainshock_S
35972.325,0.84352,17 December 2010 09:59:32.325,734489.4163,0.82419,MCWV,M4_Mainshock_S
19251.45,0.93677,18 December 2010 05:20:51.450,734490.2228,0.8189,MCWV,M4_Mainshock_S
19251.675,0.90129,18 December 2010 05:20:51.675,734490.2228,0.8189,MCWV,M4_Mainshock_S
19251.25,0.89693,18 December 2010 05:20:51.250,734490.2228,0.8189,MCWV,M4_Mainshock_S
16847.9,0.86024,18 December 2010 04:40:47.900,734490.195,0.8189,MCWV,M4_Mainshock_S
46540.6,0.84629,18 December 2010 12:55:40.600,734490.5387,0.8189,MCWV,M4_Mainshock_S
19250.225,0.83461,18 December 2010 05:20:50.225,734490.2228,0.8189,MCWV,M4_Mainshock_S
37063.925,0.82985,18 December 2010 10:17:43.925,734490.429,0.8189,MCWV,M4_Mainshock_S
19250,0.82809,18 December 2010 05:20:50.000,734490.2228,0.8189,MCWV,M4_Mainshock_S
68339.5,0.81971,18 December 2010 18:58:59.500,734490.791,0.8189,MCWV,M4_Mainshock_S
47377.225,0.87107,19 December 2010 13:09:37.225,734491.5483,0.8056,MCWV,M4_Mainshock_S
47377,0.85856,19 December 2010 13:09:37.000,734491.5483,0.8056,MCWV,M4_Mainshock_S
17314.925,0.83473,19 December 2010 04:48:34.925,734491.2004,0.8056,MCWV,M4_Mainshock_S
22542.325,0.82177,19 December 2010 06:15:42.325,734491.2609,0.8056,MCWV,M4_Mainshock_S
27024.55,0.8161,19 December 2010 07:30:24.550,734491.3128,0.8056,MCWV,M4_Mainshock_S
3904.6,0.8138,19 December 2010 01:05:04.600,734491.0452,0.8056,MCWV,M4_Mainshock_S
9497.975,0.80994,19 December 2010 02:38:17.975,734491.1099,0.8056,MCWV,M4_Mainshock_S
1441.75,0.88798,20 December 2010 00:24:01.750,734492.0167,0.81955,MCWV,M4_Mainshock_S
27465.35,0.83363,20 December 2010 07:37:45.350,734492.3179,0.81955,MCWV,M4_Mainshock_S
34179.55,0.8204,20 December 2010 09:29:39.550,734492.3956,0.81955,MCWV,M4_Mainshock_S
32466.775,0.88186,21 December 2010 09:01:06.775,734493.3758,0.81884,MCWV,M4_Mainshock_S
32465.95,0.83163,21 December 2010 09:01:05.950,734493.3758,0.81884,MCWV,M4_Mainshock_S
32466.375,0.81924,21 December 2010 09:01:06.375,734493.3758,0.81884,MCWV,M4_Mainshock_S
27468.125,0.84559,22 December 2010 07:37:48.125,734494.3179,0.8291,MCWV,M4_Mainshock_S
33949.675,0.87222,23 December 2010 09:25:49.675,734495.3929,0.8232,MCWV,M4_Mainshock_S
18306.15,0.85758,23 December 2010 05:05:06.150,734495.2119,0.8232,MCWV,M4_Mainshock_S
74287.7,0.82328,23 December 2010 20:38:07.700,734495.8598,0.8232,MCWV,M4_Mainshock_S
73484.25,0.88352,24 December 2010 20:24:44.250,734496.8505,0.81742,MCWV,M4_Mainshock_S
40881.675,0.85484,24 December 2010 11:21:21.675,734496.4732,0.81742,MCWV,M4_Mainshock_S
79189.575,0.85444,24 December 2010 21:59:49.575,734496.9165,0.81742,MCWV,M4_Mainshock_S
81559.775,0.85093,24 December 2010 22:39:19.775,734496.944,0.81742,MCWV,M4_Mainshock_S
35230.65,0.849,24 December 2010 09:47:10.650,734496.4078,0.81742,MCWV,M4_Mainshock_S
406.425,0.84379,24 December 2010 00:06:46.425,734496.0047,0.81742,MCWV,M4_Mainshock_S
35230.45,0.82666,24 December 2010 09:47:10.450,734496.4078,0.81742,MCWV,M4_Mainshock_S
81559.575,0.82294,24 December 2010 22:39:19.575,734496.944,0.81742,MCWV,M4_Mainshock_S
35478.2,0.82153,24 December 2010 09:51:18.200,734496.4106,0.81742,MCWV,M4_Mainshock_S
54908.625,0.93252,25 December 2010 15:15:08.625,734497.6355,0.80306,MCWV,M4_Mainshock_S
54908.825,0.86796,25 December 2010 15:15:08.825,734497.6355,0.80306,MCWV,M4_Mainshock_S
48840.6,0.83544,25 December 2010 13:34:00.600,734497.5653,0.80306,MCWV,M4_Mainshock_S
48840.4,0.81824,25 December 2010 13:34:00.400,734497.5653,0.80306,MCWV,M4_Mainshock_S
54909.05,0.81763,25 December 2010 15:15:09.050,734497.6355,0.80306,MCWV,M4_Mainshock_S
57063.125,0.81119,25 December 2010 15:51:03.125,734497.6605,0.80306,MCWV,M4_Mainshock_S
20865.3,0.92407,26 December 2010 05:47:45.300,734498.2415,0.79156,MCWV,M4_Mainshock_S
4224.8,0.88032,26 December 2010 01:10:24.800,734498.0489,0.79156,MCWV,M4_Mainshock_S
47961.6,0.87515,26 December 2010 13:19:21.600,734498.5551,0.79156,MCWV,M4_Mainshock_S
47961.175,0.84445,26 December 2010 13:19:21.175,734498.5551,0.79156,MCWV,M4_Mainshock_S
4224.6,0.82532,26 December 2010 01:10:24.600,734498.0489,0.79156,MCWV,M4_Mainshock_S
4226.25,0.82088,26 December 2010 01:10:26.250,734498.0489,0.79156,MCWV,M4_Mainshock_S
4226.05,0.80144,26 December 2010 01:10:26.050,734498.0489,0.79156,MCWV,M4_Mainshock_S
48098.7,0.85012,27 December 2010 13:21:38.700,734499.5567,0.80601,MCWV,M4_Mainshock_S
48098.9,0.83432,27 December 2010 13:21:38.900,734499.5567,0.80601,MCWV,M4_Mainshock_S
34694.025,0.81265,27 December 2010 09:38:14.025,734499.4016,0.80601,MCWV,M4_Mainshock_S
19926.975,0.88721,28 December 2010 05:32:06.975,734500.2306,0.82252,MCWV,M4_Mainshock_S
37809.35,0.85984,28 December 2010 10:30:09.350,734500.4376,0.82252,MCWV,M4_Mainshock_S
28595.025,0.82375,29 December 2010 07:56:35.025,734501.331,0.81748,MCWV,M4_Mainshock_S
5218.625,0.81773,29 December 2010 01:26:58.625,734501.0604,0.81748,MCWV,M4_Mainshock_S
26808.125,1.0046,30 December 2010 07:26:48.125,734502.3103,0.80272,MCWV,M4_Mainshock_S
5004.425,0.99033,30 December 2010 01:23:24.425,734502.0579,0.80272,MCWV,M4_Mainshock_S
5004.65,0.90531,30 December 2010 01:23:24.650,734502.0579,0.80272,MCWV,M4_Mainshock_S
23732.775,0.90368,30 December 2010 06:35:32.775,734502.2747,0.80272,MCWV,M4_Mainshock_S
26808.35,0.88287,30 December 2010 07:26:48.350,734502.3103,0.80272,MCWV,M4_Mainshock_S
19971.175,0.87766,30 December 2010 05:32:51.175,734502.2311,0.80272,MCWV,M4_Mainshock_S
5004.225,0.87761,30 December 2010 01:23:24.225,734502.0579,0.80272,MCWV,M4_Mainshock_S
