Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Template
74447.775,0.89102,07 December 2010 20:40:47.775,734479.8617,0.85012,N54A,M4_Mainshock_S
57717.55,0.89454,12 April 2011 16:01:57.550,734605.668,0.8692,N54A,M4_Mainshock_S
28834.2,1.0177,22 August 2011 08:00:34.200,734737.3337,0.87276,N54A,M4_Mainshock_S
71063.925,0.94777,25 August 2011 19:44:23.925,734740.8225,0.85858,N54A,M4_Mainshock_S
75808.625,0.98178,02 September 2011 21:03:28.625,734748.8774,0.90284,N54A,M4_Mainshock_S
37273.1,1.1185,22 September 2011 10:21:13.100,734768.4314,0.91429,N54A,M4_Mainshock_S
3972.5,1.0391,26 September 2011 01:06:12.500,734772.046,0.88819,N54A,M4_Mainshock_S
3160.125,0.92786,30 September 2011 00:52:40.125,734776.0366,0.8847,N54A,M4_Mainshock_S
81672.6,1.1031,20 October 2011 22:41:12.600,734796.9453,0.86489,N54A,M4_Mainshock_S
24449.675,1.1064,25 November 2011 06:47:29.675,734832.283,0.83687,N54A,M4_Mainshock_S
12086.9,0.9074,25 November 2011 03:21:26.900,734832.1399,0.83687,N54A,M4_Mainshock_S
42237.025,0.86195,27 November 2011 11:43:57.025,734834.4889,0.81729,N54A,M4_Mainshock_S
23100.7,0.83958,24 December 2011 06:25:00.700,734861.2674,0.83101,N54A,M4_Mainshock_S
72302.725,1.966,31 December 2011 20:05:02.725,734868.8368,0.85538,N54A,M4_Mainshock_S
80976.75,0.95765,13 January 2012 22:29:36.750,734881.9372,0.85595,N54A,M4_Mainshock_S
