Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
22646.625,0.50309,01 December 2010 06:17:26.625,734473.2621,0.49246,N54A,TA,17_Mar,S,0.054718,9.1943
75324.7,0.55683,02 December 2010 20:55:24.700,734474.8718,0.49478,N54A,TA,17_Mar,S,0.054975,10.1287
79211.35,0.66287,06 December 2010 22:00:11.350,734478.9168,0.51699,N54A,TA,17_Mar,S,0.057444,11.5395
60032.175,0.55214,07 December 2010 16:40:32.175,734479.6948,0.50106,N54A,TA,17_Mar,S,0.055673,9.9175
58919.2,0.54488,07 December 2010 16:21:59.200,734479.6819,0.50106,N54A,TA,17_Mar,S,0.055673,9.787
60032.3,0.53666,07 December 2010 16:40:32.300,734479.6948,0.50106,N54A,TA,17_Mar,S,0.055673,9.6394
60031.875,0.52835,07 December 2010 16:40:31.875,734479.6948,0.50106,N54A,TA,17_Mar,S,0.055673,9.4902
60031.975,0.51959,07 December 2010 16:40:31.975,734479.6948,0.50106,N54A,TA,17_Mar,S,0.055673,9.3328
40084.175,0.55299,09 December 2010 11:08:04.175,734481.4639,0.50423,N54A,TA,17_Mar,S,0.056026,9.8704
77187.125,0.53118,10 December 2010 21:26:27.125,734482.8934,0.48911,N54A,TA,17_Mar,S,0.054345,9.7743
73839.775,0.52253,10 December 2010 20:30:39.775,734482.8546,0.48911,N54A,TA,17_Mar,S,0.054345,9.615
77185.95,0.49304,10 December 2010 21:26:25.950,734482.8934,0.48911,N54A,TA,17_Mar,S,0.054345,9.0724
53183.225,0.49092,10 December 2010 14:46:23.225,734482.6155,0.48911,N54A,TA,17_Mar,S,0.054345,9.0334
70811.025,0.48932,13 December 2010 19:40:11.025,734485.8196,0.48246,N54A,TA,17_Mar,S,0.053607,9.1279
62736.7,0.58025,14 December 2010 17:25:36.700,734486.7261,0.50679,N54A,TA,17_Mar,S,0.05631,10.3046
41553.1,0.56578,14 December 2010 11:32:33.100,734486.4809,0.50679,N54A,TA,17_Mar,S,0.05631,10.0477
41647.325,0.51389,14 December 2010 11:34:07.325,734486.482,0.50679,N54A,TA,17_Mar,S,0.05631,9.1262
47323.55,0.53284,15 December 2010 13:08:43.550,734487.5477,0.48972,N54A,TA,17_Mar,S,0.054413,9.7925
47323.325,0.5046,15 December 2010 13:08:43.325,734487.5477,0.48972,N54A,TA,17_Mar,S,0.054413,9.2734
36862.525,0.5408,16 December 2010 10:14:22.525,734488.4266,0.49654,N54A,TA,17_Mar,S,0.055171,9.8023
75846.475,0.70349,18 December 2010 21:04:06.475,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,12.8988
75846.575,0.65204,18 December 2010 21:04:06.575,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,11.9555
64506.15,0.59344,18 December 2010 17:55:06.150,734490.7466,0.49085,N54A,TA,17_Mar,S,0.054539,10.8811
75849.95,0.5624,18 December 2010 21:04:09.950,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,10.3119
64506.05,0.53164,18 December 2010 17:55:06.050,734490.7466,0.49085,N54A,TA,17_Mar,S,0.054539,9.7478
75846.7,0.52431,18 December 2010 21:04:06.700,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,9.6134
75849.4,0.51622,18 December 2010 21:04:09.400,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,9.4651
75849.725,0.51619,18 December 2010 21:04:09.725,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,9.4646
75848.275,0.50849,18 December 2010 21:04:08.275,734490.8779,0.49085,N54A,TA,17_Mar,S,0.054539,9.3234
71180.15,0.54025,19 December 2010 19:46:20.150,734491.8238,0.48916,N54A,TA,17_Mar,S,0.054352,9.94
71180.25,0.53887,19 December 2010 19:46:20.250,734491.8238,0.48916,N54A,TA,17_Mar,S,0.054352,9.9145
71178.675,0.50659,19 December 2010 19:46:18.675,734491.8238,0.48916,N54A,TA,17_Mar,S,0.054352,9.3205
39698.15,0.51615,22 December 2010 11:01:38.150,734494.4595,0.49968,N54A,TA,17_Mar,S,0.05552,9.2968
66360.575,0.56301,23 December 2010 18:26:00.575,734495.7681,0.4997,N54A,TA,17_Mar,S,0.055522,10.1403
66360.475,0.55211,23 December 2010 18:26:00.475,734495.7681,0.4997,N54A,TA,17_Mar,S,0.055522,9.944
64415.025,0.54762,23 December 2010 17:53:35.025,734495.7455,0.4997,N54A,TA,17_Mar,S,0.055522,9.863
65934.65,0.53315,23 December 2010 18:18:54.650,734495.7631,0.4997,N54A,TA,17_Mar,S,0.055522,9.6024
63750.95,0.5233,23 December 2010 17:42:30.950,734495.7379,0.4997,N54A,TA,17_Mar,S,0.055522,9.425
66361.1,0.52114,23 December 2010 18:26:01.100,734495.7681,0.4997,N54A,TA,17_Mar,S,0.055522,9.3862
63401.025,0.51222,23 December 2010 17:36:41.025,734495.7338,0.4997,N54A,TA,17_Mar,S,0.055522,9.2254
66360.675,0.51219,23 December 2010 18:26:00.675,734495.7681,0.4997,N54A,TA,17_Mar,S,0.055522,9.225
66361,0.50729,23 December 2010 18:26:01.000,734495.7681,0.4997,N54A,TA,17_Mar,S,0.055522,9.1367
63172.4,0.50238,23 December 2010 17:32:52.400,734495.7312,0.4997,N54A,TA,17_Mar,S,0.055522,9.0483
67449.825,0.50172,23 December 2010 18:44:09.825,734495.7807,0.4997,N54A,TA,17_Mar,S,0.055522,9.0363
63201.725,0.50014,23 December 2010 17:33:21.725,734495.7315,0.4997,N54A,TA,17_Mar,S,0.055522,9.0079
63397.45,0.58367,24 December 2010 17:36:37.450,734496.7338,0.48849,N54A,TA,17_Mar,S,0.054277,10.7535
63397.35,0.51546,24 December 2010 17:36:37.350,734496.7338,0.48849,N54A,TA,17_Mar,S,0.054277,9.4969
60969.275,0.51047,24 December 2010 16:56:09.275,734496.7057,0.48849,N54A,TA,17_Mar,S,0.054277,9.4049
63397.55,0.50457,24 December 2010 17:36:37.550,734496.7338,0.48849,N54A,TA,17_Mar,S,0.054277,9.2962
60969.375,0.48911,24 December 2010 16:56:09.375,734496.7057,0.48849,N54A,TA,17_Mar,S,0.054277,9.0114
76512.4,0.56698,25 December 2010 21:15:12.400,734497.8856,0.49389,N54A,TA,17_Mar,S,0.054876,10.3319
36442.375,0.53629,25 December 2010 10:07:22.375,734497.4218,0.49389,N54A,TA,17_Mar,S,0.054876,9.7728
36442.275,0.50004,25 December 2010 10:07:22.275,734497.4218,0.49389,N54A,TA,17_Mar,S,0.054876,9.1121
36439.575,0.49467,25 December 2010 10:07:19.575,734497.4218,0.49389,N54A,TA,17_Mar,S,0.054876,9.0142
40483.1,0.53066,27 December 2010 11:14:43.100,734499.4686,0.52454,N54A,TA,17_Mar,S,0.058282,9.105
41887.075,0.54351,28 December 2010 11:38:07.075,734500.4848,0.50289,N54A,TA,17_Mar,S,0.055877,9.7269
64780.825,0.5042,28 December 2010 17:59:40.825,734500.7498,0.50289,N54A,TA,17_Mar,S,0.055877,9.0235
14470.425,0.5277,29 December 2010 04:01:10.425,734501.1675,0.49963,N54A,TA,17_Mar,S,0.055514,9.5057
14470.3,0.52079,29 December 2010 04:01:10.300,734501.1675,0.49963,N54A,TA,17_Mar,S,0.055514,9.3812
14470.075,0.51032,29 December 2010 04:01:10.075,734501.1675,0.49963,N54A,TA,17_Mar,S,0.055514,9.1926
14467.725,0.50544,29 December 2010 04:01:07.725,734501.1675,0.49963,N54A,TA,17_Mar,S,0.055514,9.1047
14467.6,0.50116,29 December 2010 04:01:07.600,734501.1674,0.49963,N54A,TA,17_Mar,S,0.055514,9.0276
55414.1,0.5008,29 December 2010 15:23:34.100,734501.6414,0.49963,N54A,TA,17_Mar,S,0.055514,9.0212
73942.35,0.57613,30 December 2010 20:32:22.350,734502.8558,0.50039,N54A,TA,17_Mar,S,0.055598,10.3624
73942.25,0.57479,30 December 2010 20:32:22.250,734502.8558,0.50039,N54A,TA,17_Mar,S,0.055598,10.3383
73942.15,0.53799,30 December 2010 20:32:22.150,734502.8558,0.50039,N54A,TA,17_Mar,S,0.055598,9.6764
73942.45,0.52534,30 December 2010 20:32:22.450,734502.8558,0.50039,N54A,TA,17_Mar,S,0.055598,9.4488
73943.05,0.51957,30 December 2010 20:32:23.050,734502.8558,0.50039,N54A,TA,17_Mar,S,0.055598,9.3451
