Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
70143.5,0.67085,17 December 2010 19:29:03.500,734489.8118,0.55957,N54A,TA,25_Nov,S,0.062174,10.7899
70142,0.56971,17 December 2010 19:29:02.000,734489.8118,0.55957,N54A,TA,25_Nov,S,0.062174,9.1632
66722.975,0.61273,23 December 2010 18:32:02.975,734495.7723,0.56932,N54A,TA,25_Nov,S,0.063257,9.6863
65765.6,0.57601,22 January 2011 18:16:05.600,734525.7612,0.54379,N54A,TA,25_Nov,S,0.060421,9.5332
74146.475,0.55058,03 February 2011 20:35:46.475,734537.8582,0.55042,N54A,TA,25_Nov,S,0.061158,9.0025
70011.225,0.55376,17 February 2011 19:26:51.225,734551.8103,0.54874,N54A,TA,25_Nov,S,0.060971,9.0822
64811.175,0.55121,22 February 2011 18:00:11.175,734556.7501,0.55081,N54A,TA,25_Nov,S,0.061201,9.0065
77537.625,0.64478,24 February 2011 21:32:17.625,734558.8974,0.55291,N54A,TA,25_Nov,S,0.061435,10.4954
30194.45,0.5816,28 February 2011 08:23:14.450,734562.3495,0.56549,N54A,TA,25_Nov,S,0.062832,9.2565
39693.575,0.57204,28 February 2011 11:01:33.575,734562.4594,0.56549,N54A,TA,25_Nov,S,0.062832,9.1043
57423.425,0.57026,03 March 2011 15:57:03.425,734565.6646,0.54296,N54A,TA,25_Nov,S,0.060329,9.4525
39190.8,0.58088,17 March 2011 10:53:10.800,734579.4536,0.55983,N54A,TA,25_Nov,S,0.062203,9.3385
56792.95,0.5809,25 March 2011 15:46:32.950,734587.6573,0.56205,N54A,TA,25_Nov,S,0.06245,9.3019
67094.625,0.60795,03 April 2011 18:38:14.625,734596.7766,0.53862,N54A,TA,25_Nov,S,0.059847,10.1584
59651.375,0.57187,14 April 2011 16:34:11.375,734607.6904,0.56359,N54A,TA,25_Nov,S,0.062621,9.1323
51497.9,0.58448,16 April 2011 14:18:17.900,734609.596,0.58267,N54A,TA,25_Nov,S,0.064741,9.028
23686.4,0.67758,23 April 2011 06:34:46.400,734616.2741,0.58049,N54A,TA,25_Nov,S,0.064499,10.5053
70865.45,0.58622,27 April 2011 19:41:05.450,734620.8202,0.58197,N54A,TA,25_Nov,S,0.064664,9.0657
8613.225,0.5634,11 May 2011 02:23:33.225,734634.0997,0.56086,N54A,TA,25_Nov,S,0.062318,9.0408
23263.6,0.57184,21 May 2011 06:27:43.600,734644.2693,0.56458,N54A,TA,25_Nov,S,0.062731,9.1158
18312.6,0.62091,05 June 2011 05:05:12.600,734659.212,0.56723,N54A,TA,25_Nov,S,0.063025,9.8517
56135.075,0.58838,05 June 2011 15:35:35.075,734659.6497,0.56723,N54A,TA,25_Nov,S,0.063025,9.3355
26780.9,0.60893,07 June 2011 07:26:20.900,734661.31,0.56411,N54A,TA,25_Nov,S,0.062679,9.7152
130.275,0.92557,09 June 2011 00:02:10.275,734663.0015,0.583,N54A,TA,25_Nov,S,0.064778,14.2883
31319.575,0.9177,20 June 2011 08:41:59.575,734674.3625,0.54991,N54A,TA,25_Nov,S,0.061101,15.0195
65472.3,0.5665,05 July 2011 18:11:12.300,734689.7578,0.55072,N54A,TA,25_Nov,S,0.061192,9.2577
53003.125,0.6923,07 July 2011 14:43:23.125,734691.6135,0.54615,N54A,TA,25_Nov,S,0.060683,11.4085
53002.6,0.56178,07 July 2011 14:43:22.600,734691.6135,0.54615,N54A,TA,25_Nov,S,0.060683,9.2577
68582.925,0.56813,12 July 2011 19:03:02.925,734696.7938,0.54673,N54A,TA,25_Nov,S,0.060748,9.3523
13506.675,0.62565,13 July 2011 03:45:06.675,734697.1563,0.5444,N54A,TA,25_Nov,S,0.060489,10.3432
49908.3,0.5971,13 July 2011 13:51:48.300,734697.5776,0.5444,N54A,TA,25_Nov,S,0.060489,9.8712
77129.7,0.87473,19 July 2011 21:25:29.700,734703.8927,0.54874,N54A,TA,25_Nov,S,0.060971,14.3466
24016.775,0.6023,19 July 2011 06:40:16.775,734703.278,0.54874,N54A,TA,25_Nov,S,0.060971,9.8785
34340.35,0.5584,25 July 2011 09:32:20.350,734709.3975,0.55204,N54A,TA,25_Nov,S,0.061338,9.1036
29894.925,0.76072,10 August 2011 08:18:14.925,734725.346,0.55482,N54A,TA,25_Nov,S,0.061647,12.3399
15794.425,0.58959,12 August 2011 04:23:14.425,734727.1828,0.56015,N54A,TA,25_Nov,S,0.062239,9.473
64435.1,0.58671,15 August 2011 17:53:55.100,734730.7458,0.55787,N54A,TA,25_Nov,S,0.061986,9.4652
47048.075,0.54972,18 August 2011 13:04:08.075,734733.5445,0.54869,N54A,TA,25_Nov,S,0.060966,9.0168
34742.475,0.5635,21 August 2011 09:39:02.475,734736.4021,0.55397,N54A,TA,25_Nov,S,0.061552,9.1548
52124.4,0.56292,21 August 2011 14:28:44.400,734736.6033,0.55397,N54A,TA,25_Nov,S,0.061552,9.1453
28834.6,0.63581,22 August 2011 08:00:34.600,734737.3337,0.54695,N54A,TA,25_Nov,S,0.060772,10.4622
53797.2,0.62917,23 August 2011 14:56:37.200,734738.6227,0.55126,N54A,TA,25_Nov,S,0.061251,10.272
