Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
37384.975,0.75537,01 July 2011 10:23:04.975,734685.4327,0.5354,ACSO,US,25_Nov,S,0.059488,12.6978
37328.425,0.6599,01 July 2011 10:22:08.425,734685.432,0.5354,ACSO,US,25_Nov,S,0.059488,11.093
58189.55,0.63158,01 July 2011 16:09:49.550,734685.6735,0.5354,ACSO,US,25_Nov,S,0.059488,10.6168
60659.875,0.62378,01 July 2011 16:50:59.875,734685.7021,0.5354,ACSO,US,25_Nov,S,0.059488,10.4858
37328.8,0.59201,01 July 2011 10:22:08.800,734685.432,0.5354,ACSO,US,25_Nov,S,0.059488,9.9517
55087.825,0.58667,01 July 2011 15:18:07.825,734685.6376,0.5354,ACSO,US,25_Nov,S,0.059488,9.8619
51819.375,0.58664,01 July 2011 14:23:39.375,734685.5998,0.5354,ACSO,US,25_Nov,S,0.059488,9.8615
37326.75,0.58569,01 July 2011 10:22:06.750,734685.432,0.5354,ACSO,US,25_Nov,S,0.059488,9.8455
65422,0.57642,01 July 2011 18:10:22.000,734685.7572,0.5354,ACSO,US,25_Nov,S,0.059488,9.6896
6307.475,0.57606,01 July 2011 01:45:07.475,734685.073,0.5354,ACSO,US,25_Nov,S,0.059488,9.6837
56189.925,0.56726,01 July 2011 15:36:29.925,734685.6503,0.5354,ACSO,US,25_Nov,S,0.059488,9.5356
60884.3,0.56326,01 July 2011 16:54:44.300,734685.7047,0.5354,ACSO,US,25_Nov,S,0.059488,9.4684
56189.8,0.56073,01 July 2011 15:36:29.800,734685.6503,0.5354,ACSO,US,25_Nov,S,0.059488,9.4258
37385.225,0.55735,01 July 2011 10:23:05.225,734685.4327,0.5354,ACSO,US,25_Nov,S,0.059488,9.369
54221.475,0.67623,02 July 2011 15:03:41.475,734686.6276,0.5418,ACSO,US,25_Nov,S,0.0602,11.233
1521.725,0.61901,02 July 2011 00:25:21.725,734686.0176,0.5418,ACSO,US,25_Nov,S,0.0602,10.2826
